CustomerID,Customer Region,CustomerTier,FullName,Company,Address1,Address2,Address3,City,City2,State,Zip,PrefDelivMethod,Country,CreateDate,Currency,OrderAmount,Status,MiscDate

10110095,Los Angeles,Diamond,Barb Bergeron,E-AGENCY,291 3RD STREET sadfasd466@#!$@!#$,,,OAKLAND,,CA,94607,Federal Express 2-day,US,31/08/1985,,21448,ACTIVE,31/12/99
10110131,Los Angeles,Diamond,Sandra Tucker,HOUSE INFORMATION RESOURCES,"2ND & D STREET, SW  HOUSE ANNEX 2",,,WASHINGTON,,DC,20515-6165,Federal Express 2-day,US,29/10/1985,USD,32736,LIVE,31/12/99,,,,,
10110147,Los Angeles,2,Robert Blayney Junior,EPICENTRIC,333 BRYANT STREET,,,SAN FRANCISCO,,CA,94105,US Postal 2-day,US,7/9/1992,USD,49503,LIVE,31/12/99
10110161,Los Angeles,Emerald,Chris Keating,BANG NETWORKS,808 BRANNAN STREET,,,SAN FRANCISCO,,CALIFORNIA,94103,Courier,US,7/8/1985,USD,27022,LIVE,31/12/99
10110176,Los Angeles,Bronze,Jan Baumbach,WEISS PECK AND GREER INVESTMENTS,ONE NEW YORK PLAZA,,,NEW YORK,,NY,10004-1950,United Parcel Service International,US,20/10/1982,USD,48061,LIVE,31/12/99
10110178,Los Angeles,Gold,Eligio Abrary,CITICORP INVESTMENT SERVICES,800 WILSHIRE BLVD,,,LOS ANGELES,,CA,90017,US Postal 2-day,US,31/07/1983,USD,17467,LIVE,31/12/99
10110201,Los Angeles,Ruby,George Briere,MCKINLEY CAPITAL MANAGEMENT,3301 C STREET,,,ANCHORAGE,,AK,99503,United Parcel Service Air,US,27/09/1989,USD,16335,A,31/12/99
10110206,Los Angeles,Bronze,Kim Fischer,U.S. TRUST COMPANY,600 ANTON BLVD SUITE 150,,,COSTA MESA,,CA,92626,Federal Express 2-day,US,26/07/1992,USD,8197,A,31/12/99
10110232,Los Angeles,Gold,Donna Mccalpin,GLEN AVENUE FILMS,6255 SUNSET BLVD.,,,LOS ANGELES,,CA,90028,US Postal Overnight,US,27/08/1993,USD,39523,LIVE,31/12/99
10110232,Los Angeles,Gold,Donna Mccalpin,GLEN AVENUE FILMS,6255 SUNSET BLVD.,,,LOS ANGELES,,CA,90028,US Postal Overnight,US,27/08/1993,USD,39523,LIVE,31/12/99
10110232,Los Angeles,Gold,Donna Mccalpin,GLEN AVENUE FILMS,6255 SUNSET BLVD.,,,LOS ANGELES,,CA,90028,US Postal Overnight,US,27/08/1993,USD,39523,LIVE,31/12/99
10110232,Los Angeles,Gold,Donna Mccalpin,GLEN AVENUE FILMS,6255 SUNSET BLVD.,,,LOS ANGELES,,CA,90028,US Postal Overnight,US,27/08/1993,USD,39523,LIVE,31/12/99
10110251,Los Angeles,Emerald,Jan Alarcon,BISYS,"3435 STELZER RD, SUITE 1000",,,COLUMBUS,,OH,43219-8006,Federal Express International,US,29/09/1988,USD,15817,LIVE,31/12/99
